,Unnamed: 0,ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
354,355,70,MEXICO,MEXICO,0,1948,0,0,0,0,0,,,,,,,24460.0,10.1047945022583,-6.0,2.0409998893737797,3.0,2.05800008773804,7.62948989868164,10.077860832214402,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.05800008773804,10.077860832214402,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
355,356,70,MEXICO,MEXICO,0,1949,0,0,0,0,0,,,,,,,25132.0,10.131896972656198,-6.0,2.125,3.0,2.0409998893737797,7.6211953163147,10.1047945022583,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.0409998893737797,10.1047945022583,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
356,357,70,MEXICO,MEXICO,0,1950,0,0,0,0,0,,,,,,,27725.0,10.2300901412964,-6.0,2.1979999542236297,0.0,2.125,7.66152715682983,10.131896972656198,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.125,10.131896972656198,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
357,358,70,MEXICO,MEXICO,0,1951,0,0,0,0,0,,,,,,,28649.0,10.262873649597198,-6.0,2.33899998664856,0.0,2.1979999542236297,7.6953029632568395,10.2300901412964,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.1979999542236297,10.2300901412964,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
358,359,70,MEXICO,MEXICO,0,1952,0,0,0,0,0,,,,,,,29572.0,10.294583320617699,-6.0,2.33599996566772,0.0,2.33899998664856,7.7574787139892605,10.262873649597198,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.33899998664856,10.262873649597198,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
359,360,70,MEXICO,MEXICO,0,1953,0,0,0,0,0,,,,,,,30496.0,10.325350761413599,-6.0,2.2369999885559104,0.0,2.33599996566772,7.7561955451965305,10.294583320617699,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.33599996566772,10.294583320617699,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
360,361,70,MEXICO,MEXICO,0,1954,0,0,0,0,0,,,,,,,31419.0,10.355168342590302,-6.0,2.3970000743866,0.0,2.2369999885559104,7.712891101837161,10.325350761413599,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.2369999885559104,10.325350761413599,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
361,362,70,MEXICO,MEXICO,0,1955,0,0,0,0,0,,,,,,,32348.0,10.3843078613281,-6.0,2.5139999389648398,0.0,2.3970000743866,7.781973361968991,10.355168342590302,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.3970000743866,10.355168342590302,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
362,363,70,MEXICO,MEXICO,0,1956,0,0,0,0,0,,,,,,,33483.0,10.4187927246094,-6.0,2.58999991416931,0.0,2.5139999389648398,7.82963037490845,10.3843078613281,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.5139999389648398,10.3843078613281,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
363,364,70,MEXICO,MEXICO,0,1957,0,0,0,0,0,,,,,,,34617.0,10.4520998001099,-6.0,2.7109999656677206,0.0,2.58999991416931,7.85941314697266,10.4187927246094,latin america and the caribbean,0,0,1,0,0,0,0,0,31.2000007629395,3.4719665050506605,5710.0,0,0,0.305108189582825,0.541778922080994,0.6000000238418579,0.30000001192092896,2,0.20179998874664298,89,6,0.0,0,-6.0,0.0,0.0,0.0,0.305108189582825,0,0,2.58999991416931,10.4187927246094,3.4719665050506605,0,-6.0,0,0,,,0.0,0.0,0.0,0,
